20140901,849144422,894538218
20140902,1170383134,1176071714
20140903,1121501400,1166270035
20140904,933809090,933838502
20140905,932182626,993551113
20140906,525716053,533506132
20140907,559171309,605064490
20140908,1107207256,1345673024
20140909,1219374806,1224916984
20140910,1057464473,1079875122
20140911,919408424,915423976
20140912,722983696,732741934
20140913,541886657,552115831
20140914,727970537,769419960
20140915,1082198744,1301954174
20140916,933291874,939688957
20140917,932763179,911635360
20140918,891252681,879420456
20140919,892219300,943728667
20140920,547058837,558068158
20140921,661813059,705004123
20140922,992501048,1145148360
20140923,1137825874,1143611745
20140924,944549547,927536844
20140925,837800333,811069473
20140926,781813586,806085403
20140927,562172257,575461213
20140928,540478794,586864068
20140929,903391105,989370032
20140930,1127751501,1133567477
